donor_id,received_date,check_date,paid_out_date,gross_amount,processing_fee,net_amount,campus,campus_imputed,payment_method,week_end_sunday,
142658645,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
95553959,2025-05-18,2025-05-18,,150,,150,Bucks County Community Church,TRUE,Check,2025-05-18,
25198249,2025-05-18,2025-05-18,,160,,160,Bucks County Community Church,TRUE,Check,2025-05-18,
25198255,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
13119242,2025-05-18,2025-05-18,,350,,350,Bucks County Community Church,TRUE,Check,2025-05-18,
72645958,2025-05-18,2025-05-16,,100,,100,Bucks County Community Church,FALSE,Check,2025-05-18,
151548585,2025-05-18,2025-05-11,,500,,500,Bucks County Community Church,TRUE,Check,2025-05-18,
162037160,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
169675327,2025-05-18,2025-05-12,,300,,300,Bucks County Community Church,TRUE,Check,2025-05-18,
72645893,2025-05-18,2025-05-13,,300,,300,Bucks County Community Church,FALSE,Check,2025-05-18,
154995743,2025-05-18,2025-05-18,,350,,350,Bucks County Community Church,FALSE,Check,2025-05-18,
13151204,2025-05-18,2025-05-18,,250,,250,Bucks County Community Church,FALSE,Check,2025-05-18,
25197967,2025-05-18,2025-05-17,,600,,600,Bucks County Community Church,FALSE,Check,2025-05-18,
25197966,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
25198052,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,FALSE,Check,2025-05-18,
95553959,2025-05-18,2025-05-15,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
161547063,2025-05-18,,,300,,300,Bucks County Community Church,TRUE,Unknown,2025-05-18,
146382431,2025-05-18,,,15,,15,Bucks County Community Church,FALSE,Unknown,2025-05-18,
146382899,2025-05-18,,,25,,25,Bucks County Community Church,FALSE,Unknown,2025-05-18,
,2025-05-18,,,719,,719,Bucks County Community Church,TRUE,Unknown,2025-05-18,
25198248,2025-05-18,2025-05-18,,150,,150,Bucks County Community Church,TRUE,Check,2025-05-18,
142658536,2025-05-17,,2025-05-22,200,-4.6,195.4,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142658660,2025-05-16,,2025-05-22,150.3,-0.3,150,Bucks County Community Church,TRUE,Electronic,2025-05-18,
25198265,2025-05-16,,2025-05-22,107.61,-2.61,105,Bucks County Community Church,TRUE,Electronic,2025-05-18,
96005461,2025-05-16,,2025-05-22,306.9,-6.9,300,Bucks County Community Church,FALSE,Electronic,2025-05-18,
161251455,2025-05-16,,2025-05-22,100,-2.45,97.55,Bucks County Community Church,TRUE,Electronic,2025-05-18,
142649352,2025-05-16,,2025-05-22,400,-8.9,391.1,Bucks County Community Church,FALSE,Electronic,2025-05-18,
12900508,2025-05-15,,2025-05-22,10.53,-0.53,10,Bucks County Community Church,TRUE,Electronic,2025-05-18,
145783259,2025-05-15,,2025-05-22,400.3,-0.3,400,Bucks County Community Church,FALSE,Electronic,2025-05-18,
142658669,2025-05-15,2025-05-15,,600,,600,Bucks County Community Church,TRUE,Check,2025-05-18,
147878650,2025-05-14,,2025-05-22,300,-6.75,293.25,Bucks County Community Church,TRUE,Electronic,2025-05-18,
165374643,2025-05-14,,2025-05-22,270,-6.11,263.89,Bucks County Community Church,TRUE,Electronic,2025-05-18,
